States;Percentage 2014-2016;Percentage 2013-2014;Percentage 2015-2016
     United States;13,7;14,8;13,1
Alabama;16,8;18,2;16,3
Alaska;11,2;10,8;10,9
Arizona;18,2;19,5;16,6
Arkansas;16,8;16,1;16,1
California..................;14,5;15,4;13,9
Colorado..................;10,2;11,5;9,2
Connecticut..............;9,2;9,7;9,5
Delaware..................;11,2;11,1;11,3
District of Columbiaâ€¦.;17,3;21,1;16,5
Florida.....................;15,3;15,7;14,6
Georgia.....................;16,8;17,7;16,8
Hawaii......................;10,3;10,7;10,1
Idaho........................;11,9;12,4;11,7
Illinois.......................;12,2;13,7;11,5
Indiana.....................;13,3;15,6;12,7
Iowa..........................;10,1;11,7;10,1
Kansas....................;12,5;11,7;12,7
Kentucky..................;18,3;21,0;17,4
Louisiana..................;20,6;22,2;19,4
Maine.......................;13,2;13,0;12,5
Maryland...................;8,9;10,2;8,4
Massachusetts.........;11,6;12,9;10,6
Michigan...................;12,9;13,7;11,9
Minnesota.................;8,3;9,6;8,3
Mississippi...............;20,8;20,6;20,1
Missouri...................;11,1;14,0;11,4
Montana...................;11,9;11,3;11,8
Nebraska..................;10,6;11,1;9,9
Nevada......................;13,4;15,7;11,5
New Hampshire.........;6,9;6,3;6,8
New Jersey...............;10,6;10,6;10,3
New Mexico...............;19,1;22,9;18,7
New York..................;13,4;15,6;13,0
North Carolina...........;15,3;15,9;14,4
North Dakota.............;10,5;11,4;10,9
Ohio.........................;14,3;15,3;13,6
Oklahoma.................;15,4;19,3;14,4
Oregon.....................;12,7;14,2;11,8
Pennsylvania.............;12,0;11,9;11,7
Rhode Island.............;11,5;10,3;11,6
South Carolina..........;15,0;17,9;14,2
South Dakota............;13,7;13,1;14,2
Tennessee................;15,6;16,4;14,8
Texas.......................;15,0;16,6;14,3
Utah.........................;9,4;11,2;8,9
Vermont...................;9,9;8,0;10,2
Virginia.....................;10,8;10,0;11,1
Washington...............;11,5;12,1;11,2
West Virginia............;17,7;20,2;16,3
Wisconsin.................;11,0;12,2;11,1
Wyoming..................;10,1;10,5;10,3